Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Xie, L., Jin, X., Zhou, M., Wang, Y., Tian, Z.","55603563000;57207363791;55506126300;56549089300;55506175400;","Cost-efficient BLE fingerprint database construction approach via multi-quadric RBF interpolation",2019,"Eurasip Journal on Wireless Communications and Networking","2019","1", 50,"","",,,"10.1186/s13638-019-1364-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062261573&doi=10.1186%2fs13638-019-1364-x&partnerID=40&md5=baaa6ecb151ecc8c4885b6c5eb410719",Article,"Final",Open Access,Scopus,2-s2.0-85062261573
"Chen, J., Chen, H., Luo, X.","56044368500;57192644185;57207394975;","Collecting building occupancy data of high resolution based on WiFi and BLE network",2019,"Automation in Construction","102",,,"183","194",,,"10.1016/j.autcon.2019.02.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062206746&doi=10.1016%2fj.autcon.2019.02.016&partnerID=40&md5=a9a47a57cd2ab5e4c2e0979e507e19b1",Article,"Final",,Scopus,2-s2.0-85062206746
"Li, B., Dong, Q., Downen, R.S., Tran, N., Jackson, J.H., Pillai, D., Zaghloul, M., Li, Z.","56379206300;55576590800;57206854916;57204618025;57206845795;54940294200;35563175900;57202877020;","A wearable IoT aldehyde sensor for pediatric asthma research and management",2019,"Sensors and Actuators, B: Chemical","287",,,"584","594",,,"10.1016/j.snb.2019.02.077","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062007205&doi=10.1016%2fj.snb.2019.02.077&partnerID=40&md5=93a50b52c124e13d79ad256a007f54af",Article,"Final",,Scopus,2-s2.0-85062007205
"Mariappan, S., Rajendran, J., Noh, N.M., Ramiah, H., Manaf, A.A., Mohd, S.K.K., Yusman Mohd. Yusof","57207313961;57195155473;9336296000;9335469500;35307632700;6603256972;57207758867;","Low voltage CMOS power amplifier with integrated analog Pre-Distorter for BLE 4.0 application",2019,"Indonesian Journal of Electrical Engineering and Computer Science","14","2",,"929","936",,,"10.11591/ijeecs.v14.i1.pp929-936","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062840792&doi=10.11591%2fijeecs.v14.i1.pp929-936&partnerID=40&md5=b1fef12629f51e6192bed662d8456ebd",Article,"Final",,Scopus,2-s2.0-85062840792
"Mariappan, S., Rajendran, J., Noh, N.M., Ramiah, H., Manaf, A.A., Mohd, S.K.K., Yusof, Y.M.","57207313961;57195155473;9336296000;9335469500;35307632700;6603256972;57193801362;","Low voltage CMOS power amplifier with integrated analog pre-distorter for BLE 4.0 application",2019,"Indonesian Journal of Electrical Engineering and Computer Science","14","2",,"895","902",,,"10.11591/ijeecs.v14.i2.pp895-902","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062392696&doi=10.11591%2fijeecs.v14.i2.pp895-902&partnerID=40&md5=3855be6cff6c075f52e2f0487a6e1181",Article,"Final",,Scopus,2-s2.0-85062392696
"Liu, J., Feng, Z., Mannan, A., Yang, L.","57060207600;8877963600;57201319943;56601906800;","Positioning of coordinates and precision analysis of sample trees using the intelligent forest survey calculator",2019,"Computers and Electronics in Agriculture","159",,,"157","164",,,"10.1016/j.compag.2019.03.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062802914&doi=10.1016%2fj.compag.2019.03.003&partnerID=40&md5=5a21b19ff21c5ca6d00353297bcae479",Article,"Final",,Scopus,2-s2.0-85062802914
"Hasan, M.K., Shahjalal, M., Chowdhury, M.Z., Jang, Y.M.","57201739551;57193587443;15026069700;57206581879;","Real-Time Healthcare Data Transmission for Remote Patient Monitoring in Patch-Based Hybrid OCC/BLE Networks",2019,"Sensors (Basel, Switzerland)","19","5",,"","",,,"10.3390/s19051208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062832554&doi=10.3390%2fs19051208&partnerID=40&md5=f891428f41ce7df984ea1a26d4dc46d6",Article,"Final",Open Access,Scopus,2-s2.0-85062832554
"Liu, Y.-H., Purushothaman, V.K., Bachmann, C., Staszewski, R.B.","27172235100;57193748910;56564920300;57206348994;","Design and analysis of a DCO-based phase-tracking RF receiver for IoT applications",2019,"IEEE Journal of Solid-State Circuits","54","3", 8599141,"785","795",,,"10.1109/JSSC.2018.2883398","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062475698&doi=10.1109%2fJSSC.2018.2883398&partnerID=40&md5=a9365a635f7400bf4546661e722f5b82",Article,"Final",,Scopus,2-s2.0-85062475698
"Perez-Diaz-de-Cerio, D., Hernández-Solana, Á., Valdovinos, A., Olmos, J., Valenzuela, J.L.","57205082048;8346582700;57207553426;55412009400;57206033824;","Low-cost test measurement setup for real IoT BLE sensor device characterization",2019,"Measurement: Journal of the International Measurement Confederation","135",,,"814","827",,,"10.1016/j.measurement.2018.11.082","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058497047&doi=10.1016%2fj.measurement.2018.11.082&partnerID=40&md5=c388904d0fd4156db889bf24697880d8",Article,"Final",,Scopus,2-s2.0-85058497047
"Jondhale, S.R., Deshpande, R.S.","57193875282;13408339300;","GRNN and KF framework based real time target tracking using PSOC BLE and smartphone",2019,"Ad Hoc Networks","84",,,"19","28",,,"10.1016/j.adhoc.2018.09.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054625230&doi=10.1016%2fj.adhoc.2018.09.017&partnerID=40&md5=57b66bcbd3e7770942e30a4c98fba8fb",Article,"Final",,Scopus,2-s2.0-85054625230
"Jabbari, A., Almalki, K.J., Choi, B.-Y., Song, S.","57194009800;57207316955;15768734900;7403350196;","ICE-MoCha: Intelligent Crowd Engineering using Mobility Characterization and Analytics",2019,"Sensors (Basel, Switzerland)","19","5",,"","",,,"10.3390/s19051025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062435496&doi=10.3390%2fs19051025&partnerID=40&md5=72772df60c6c4edb4da84e0c777a88d6",Article,"Final",Open Access,Scopus,2-s2.0-85062435496
"MacKey, A., Spachos, P.","57200107983;36162123500;","Energy Consumption and Proximity Accuracy of BLE Beacons for Internet of Things Applications",2019,"2018 Global Information Infrastructure and Networking Symposium, GIIS 2018",,, 8635746,"","",,,"10.1109/GIIS.2018.8635746","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062848303&doi=10.1109%2fGIIS.2018.8635746&partnerID=40&md5=c7341aff7b0abce2442a8da04c19e51a",Conference Paper,"Final",,Scopus,2-s2.0-85062848303
