Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Source,EID
"Rahmani A.M., Gia T.N., Negash B., Anzanpour A., Azimi I., Jiang M., Liljeberg P.","Exploiting smart e-Health gateways at the edge of healthcare Internet-of-Things: A fog computing approach",2018,"Future Generation Computer Systems","78",,,"641","658",,2,10.1016/j.future.2017.02.014,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012875280&doi=10.1016%2fj.future.2017.02.014&partnerID=40&md5=db88c41aaa12560ca3777c5d7a46a66b","Department of Computer Science, University of California Irvine, United States; Institute of Computer Technology, TU Wien, Vienna, Austria; Department of Information Technology, University of Turku, Turku, Finland","Rahmani, A.M., Department of Computer Science, University of California Irvine, United States, Institute of Computer Technology, TU Wien, Vienna, Austria; Gia, T.N., Department of Information Technology, University of Turku, Turku, Finland; Negash, B., Department of Information Technology, University of Turku, Turku, Finland; Anzanpour, A., Department of Information Technology, University of Turku, Turku, Finland; Azimi, I., Department of Information Technology, University of Turku, Turku, Finland; Jiang, M., Department of Information Technology, University of Turku, Turku, Finland; Liljeberg, P., Department of Information Technology, University of Turku, Turku, Finland","Current developments in ICTs such as in Internet-of-Things (IoT) and Cyber–Physical Systems (CPS) allow us to develop healthcare solutions with more intelligent and prediction capabilities both for daily life (home/office) and in-hospitals. In most of IoT-based healthcare systems, especially at smart homes or hospitals, a bridging point (i.e., gateway) is needed between sensor infrastructure network and the Internet. The gateway at the edge of the network often just performs basic functions such as translating between the protocols used in the Internet and sensor networks. These gateways have beneficial knowledge and constructive control over both the sensor network and the data to be transmitted through the Internet. In this paper, we exploit the strategic position of such gateways at the edge of the network to offer several higher-level services such as local storage, real-time local data processing, embedded data mining, etc., presenting thus a Smart e-Health Gateway. We then propose to exploit the concept of Fog Computing in Healthcare IoT systems by forming a Geo-distributed intermediary layer of intelligence between sensor nodes and Cloud. By taking responsibility for handling some burdens of the sensor network and a remote healthcare center, our Fog-assisted system architecture can cope with many challenges in ubiquitous healthcare systems such as mobility, energy efficiency, scalability, and reliability issues. A successful implementation of Smart e-Health Gateways can enable massive deployment of ubiquitous health monitoring systems especially in clinical environments. We also present a prototype of a Smart e-Health Gateway called UT-GATE where some of the discussed higher-level features have been implemented. We also implement an IoT-based Early Warning Score (EWS) health monitoring to practically show the efficiency and relevance of our system on addressing a medical case study. Our proof-of-concept design demonstrates an IoT-based health monitoring system with enhanced overall system intelligence, energy efficiency, mobility, performance, interoperability, security, and reliability. © 2017 Elsevier B.V.","Edge/Fog computing; Healthcare; Home care; Internet of Things; Mobility; Sensor network; Smart gateway; Smart hospital","Automation; Carrier mobility; Computer circuits; Cyber Physical System; Data handling; Data mining; Digital storage; Distributed computer systems; Embedded systems; Energy efficiency; Fog; Health; Health care; Home networks; Hospitals; Intelligent buildings; Internet of things; Interoperability; Monitoring; Sensor networks; Sensor nodes; Cyber-physical systems (CPS); Edge/Fog computing; Health monitoring system; Home care; Internet of Things (IOT); Smart hospital; Ubiquitous health monitoring; Ubiquitous healthcare system; Gateways (computer networks)","Rahmani, A.M.; Department of Computer Science, University of California IrvineUnited States; email: amirr1@uci.edu",,"Elsevier B.V.",0167739X,,FGCSE,,"English","Future Gener Comput Syst",Article,Scopus,2-s2.0-85012875280
"Zhou J., Xu W., Yang F., Lin J.","IoT-architecture-based all-in-one monitoring system design and implementation for data center",2018,"Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST","210",,,"367","377",,,10.1007/978-3-319-66628-0_35,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031313744&doi=10.1007%2f978-3-319-66628-0_35&partnerID=40&md5=ee4383bb2e9441689b39a3a4fbec87bf","Key Lab of Universal Wireless Communications, Ministry of Education, Beijing University of Posts and Telecommunications, Beijing, China","Zhou, J., Key Lab of Universal Wireless Communications, Ministry of Education, Beijing University of Posts and Telecommunications, Beijing, China; Xu, W., Key Lab of Universal Wireless Communications, Ministry of Education, Beijing University of Posts and Telecommunications, Beijing, China; Yang, F., Key Lab of Universal Wireless Communications, Ministry of Education, Beijing University of Posts and Telecommunications, Beijing, China; Lin, J., Key Lab of Universal Wireless Communications, Ministry of Education, Beijing University of Posts and Telecommunications, Beijing, China","Modularization and integration are becoming the mainstream trend in the development of data center. However, the integrated monitoring of power and environment has been a challenge in data centers. An All-in-One monitoring system design and implementation has been developed based on Internet of Things (IoT) architecture in this paper. The hardware is composed of two levels: one integrated monitoring gateway and several monitoring modules through the CAN-BUS network. The two-level structure design enables us to achieve module splicing and flexible deployment easily as well as rapid troubleshooting. A series of software applications are developed to establish the sensor network and collect sensor data. In addition, a web interface is provided for users to master the state of data center conveniently. Laboratory tests verify that the proposed system is able to offer automatic and intelligent support for data center management, thus significantly reducing the cost of labor and operation. © 2018, ICST Institute for Computer Sciences, Social Informatics and Telecommunications Engineering.","All-in-One monitoring system; CAN-BUS; Data center; Integrated management; IoT","Application programs; Computer architecture; Gateways (computer networks); Information management; Interface states; Internet of things; Modular construction; Network architecture; Sensor networks; Systems analysis; CAN bus; Data center management; Data centers; Design and implementations; Integrated management; Internet of Things (IOT); Monitoring system; Software applications; Monitoring","Xu, W.; Key Lab of Universal Wireless Communications, Ministry of Education, Beijing University of Posts and TelecommunicationsChina; email: wjxu@bupt.edu.cn","Chen Q.Meng W.Zhao L.","Springer Verlag",18678211,9783319666273,,,"English","Lect. Notes Inst. Comput. Sci. Soc. Informatics Telecommun. Eng.",Conference Paper,Scopus,2-s2.0-85031313744
"Liu Q., Wang P., Chen J.","Research on detection of environmental factors based on IOT technology",2018,"Lecture Notes in Electrical Engineering","456",,,"477","485",,,10.1007/978-981-10-6232-2_55,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028713372&doi=10.1007%2f978-981-10-6232-2_55&partnerID=40&md5=228161175c82d015872e9f4c95cbbd57","School of Electronics and Information Engineering, Jinggangshan University, Ji’an City, Jiangxi Province, China; Key Laboratory of Watershed Ecology and Geographical Environment Monitoring(NASG), Ji’an City, Jiangxi Province, China","Liu, Q., School of Electronics and Information Engineering, Jinggangshan University, Ji’an City, Jiangxi Province, China, Key Laboratory of Watershed Ecology and Geographical Environment Monitoring(NASG), Ji’an City, Jiangxi Province, China; Wang, P., School of Electronics and Information Engineering, Jinggangshan University, Ji’an City, Jiangxi Province, China; Chen, J., School of Electronics and Information Engineering, Jinggangshan University, Ji’an City, Jiangxi Province, China","The “man,” “machine,” and “environment” can be seen as the three elements of the man-machine-environment system engineering (MMESE). And the “environment” refers to the special conditions of people and machines (or computers), which includes both physical and social factors. The man-machine-environment system constitutes a very complex super giant system through the information transmission, information processing, and information control between three elements above. Consequently, the detection of environmental parameter plays a critical role in MMESE; in particular, the emergence of the Internet of things (IOT) technology makes the environmental factor detection development intelligent and quantitative. In our paper, we propose a design scheme of intelligent detection of environmental factors based on the IOT technology and embedded computer technology. The design of hardware circuit is integrated by the Cortex A8 chip module equipped with CC2530 wireless sensor module and the corresponding peripheral circuits, which also comprises 5 sensor nodes used to sensing environment parameters. The terminal node makes up the Zigbee wireless sensor network with coordinator node by means of star topology. And the collected data are transformed to central control gateway. Debugging through the integrated editing software IAR and visual interface designing by QT creator software within virtual machine VMware, finally we achieve intelligent detection and control of environmental factors. © Springer Nature Singapore Pte Ltd. 2018.","Embedded system; Environmental factor; Intelligent detection; IOT; Sensor nodes","Embedded systems; Gateways (computer networks); Man machine systems; Program debugging; Sensor nodes; Systems engineering; Wireless sensor networks; Zigbee; Design of hardwares; Embedded computer technology; Environmental factors; Environmental parameter; Information transmission; Intelligent detection; Internet of thing (IOT); Man-machine-environment systems; Environmental technology","Liu, Q.; School of Electronics and Information Engineering, Jinggangshan UniversityChina; email: liuqing@jgsu.eud.cn","Long S.Dhillon B.S.","Springer Verlag",18761100,9789811062315,,,"English","Lect. Notes Electr. Eng.",Conference Paper,Scopus,2-s2.0-85028713372
"Tonyali S., Akkaya K., Saputro N., Uluagac A.S., Nojoumian M.","Privacy-preserving protocols for secure and reliable data aggregation in IoT-enabled Smart Metering systems",2018,"Future Generation Computer Systems","78",,,"547","557",,1,10.1016/j.future.2017.04.031,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018181196&doi=10.1016%2fj.future.2017.04.031&partnerID=40&md5=407563eee2dbcbb06ef80e2f8db28188","The Department of Electrical and Computer Engineering, Florida International University, Miami, FL, United States; The Department of Computer & Electrical Engineering and Computer Science, Florida Atlantic University, Boca Raton, FL, United States","Tonyali, S., The Department of Electrical and Computer Engineering, Florida International University, Miami, FL, United States; Akkaya, K., The Department of Electrical and Computer Engineering, Florida International University, Miami, FL, United States; Saputro, N., The Department of Electrical and Computer Engineering, Florida International University, Miami, FL, United States; Uluagac, A.S., The Department of Electrical and Computer Engineering, Florida International University, Miami, FL, United States; Nojoumian, M., The Department of Computer & Electrical Engineering and Computer Science, Florida Atlantic University, Boca Raton, FL, United States","As the Internet of Things (IoT) gets more pervasive, its areas of usage expands. Smart Metering systems is such an IoT-enabled technology that enables convenient and high frequency data collection compared to existing metering systems. However, such a frequent data collection puts the consumers’ privacy in risk as it helps expose the consumers’ daily habits. Secure in-network data aggregation can be used to both preserve consumers’ privacy and reduce the packet traffic due to high frequency metering data. The privacy can be provided by performing the aggregation on concealed metering data. Fully homomorphic encryption (FHE) and secure multiparty computation (secure MPC) are the systems that enable performing multiple operations on concealed data. However, both FHE and secure MPC systems have some overhead in terms of data size or message complexity. The overhead is compounded in the IoT-enabled networks such as Smart Grid (SG) Advanced Metering Infrastructure (AMI). In this paper, we propose new protocols to adapt FHE and secure MPC to be deployed in SG AMI networks that are formed using wireless mesh networks. The proposed protocols conceal the smart meters’ (SMs) reading data by encrypting it (FHE) or computing its shares on a randomly generated polynomial (secure MPC). The encrypted data/computed shares are aggregated at some certain aggregator SM(s) up to the gateway of the network in a hierarchical manner without revealing the readings’ actual value. To assess their performance, we conducted extensive experiments using the ns-3 network simulator. The simulation results indicate that the secure MPC-based protocol can be a viable privacy-preserving data aggregation mechanism since it not only reduces the overhead with respect to FHE but also almost matches the performance of the Paillier cryptosystem when it is used within a proper sized AMI network. © 2017 Elsevier B.V.","Fully homomorphic encryption; Internet of things; Privacy-preserving protocols; Reliable data aggregation; Secure multiparty computation; Smart Metering systems","Advanced metering infrastructures; Cryptography; Data acquisition; Data privacy; Electric measuring instruments; Gateways (computer networks); Internet of things; Internet protocols; MESH networking; Fully homomorphic encryption; Privacy-preserving protocols; Reliable data aggregation; Secure multi-party computation; Smart metering; Network security","Tonyali, S.; The Department of Electrical and Computer Engineering, Florida International UniversityUnited States; email: stonyali@fiu.edu",,"Elsevier B.V.",0167739X,,FGCSE,,"English","Future Gener Comput Syst",Article,Scopus,2-s2.0-85018181196
"Woo M.W., Lee J., Park K.","A reliable IoT system for Personal Healthcare Devices",2018,"Future Generation Computer Systems","78",,,"626","640",,,10.1016/j.future.2017.04.004,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017546428&doi=10.1016%2fj.future.2017.04.004&partnerID=40&md5=10dd06a83b825217446fe1d36d148b57","Computer Engineering Department, Keimyung University, South Korea","Woo, M.W., Computer Engineering Department, Keimyung University, South Korea; Lee, J., Computer Engineering Department, Keimyung University, South Korea; Park, K., Computer Engineering Department, Keimyung University, South Korea","Healthcare applications in IoT systems have been receiving increasing attention because they help facilitate remote monitoring of patients. In this paper, we propose a reliable oneM2M-based IoT system for Personal Healthcare Devices. In order to use a Personal Healthcare Device as an Application Dedicated Node in the proposed system, a protocol conversion between ISO/IEEE 11073 protocol messages and oneM2M protocol messages is performed in gateways located between Personal Healthcare Devices and the PHD management server. The proposed oneM2M-based IoT system for Personal Healthcare Device is constructed, and evaluated in various experiments. The experiments show that the protocol conversion performs effectively, and that the conversion process does not cause the system to suffer serious performance degradation, even when the number of Application Dedicated Node is quite large. Some Personal Healthcare Device data is too precious to lose due to system failures under u-healthcare environments. However, until now, few studies have focused on fault-tolerant health data services. Therefore, we also propose a fault-tolerant algorithm for the reliable IoT system in which gateways on the same layer in the system are linked to form a daisy chain for fault tolerance at the level, and a gateway stores the backup copy of the previous gateway positioned immediately ahead of the gateway in the daisy chain. The upper-layered gateway stores the parity data of the daisy chain as well. In this manner, as many as two gateway faults occurred at the same time can be recovered. For experiments, the resource trees of the oneM2M-based IoT system were expanded to store information on daisy chains, backup copies, and parity. Our experiments reveal that the proposed algorithm can recover from faults on gateways in the oneM2M-based IoT system. © 2017 Elsevier B.V.","Daisy chain; Fault-tolerant; IoT; OneM2M; Personal Healthcare Device; u-healthcare","Chains; Fault tolerance; Gateways (computer networks); Health care; Remote patient monitoring; Systems engineering; Fault tolerant algorithms; Fault-tolerant; Health care application; OneM2M; Performance degradation; Personal health care; Protocol conversion; u-Healthcare; Internet of things","Park, K.; Computer Engineering Department, Keimyung University, 1000 Sindang-dong, Dalseo-gu, South Korea; email: khp@kmu.ac.kr",,"Elsevier B.V.",0167739X,,FGCSE,,"English","Future Gener Comput Syst",Article,Scopus,2-s2.0-85017546428
"Petracca M., Passaro P., Gioia E.","AMBER: Advanced Mother Board for Embedded systems pRototyping",2017,"Eurasip Journal on Embedded Systems","2017","1", 32,"","",,,10.1186/s13639-017-0080-z,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029522412&doi=10.1186%2fs13639-017-0080-z&partnerID=40&md5=05434ac195badbbf1d0afce90df242ec","Scuola Superiore Sant’Anna di Pisa, Via Moruzzi 1, Pisa, Italy; Phoenixsoftware, Venice, Italy; Arrow Electronics Inc., Milan, Italy","Petracca, M., Scuola Superiore Sant’Anna di Pisa, Via Moruzzi 1, Pisa, Italy; Passaro, P., Phoenixsoftware, Venice, Italy; Gioia, E., Arrow Electronics Inc., Milan, Italy","The proliferation of low-cost embedded system platforms has allowed the creation of large communities of developers, as well as the development of new advanced applications. Even though some of these applications can be of industrial relevance, their immediate application to real products is not straightforward since most of them require a complete and expensive hardware redesign of the considered embedded solution. To speed up the technological transfer of custom embedded solutions while overtaking the limits imposed by a complete hardware redesign, the article presents AMBER, an innovative embedded platform leveraging on a design based on System-on-Modules (SOM) and Extender modules. AMBER decouples the processing part of the system, which is fully contained on the SOM, from the peripherals, which are contained on the main board and Extender modules. This allows a smooth industrial-oriented redesign of the embedded solution. In the article, AMBER is first presented starting from its philosophy and design choices while highlighting its main features. Then, an application of AMBER as an enhanced gateway to be used in the Industrial Internet of Things (IIoT) scenario is reported by considering a monitoring and actuation use case. The IIoT-oriented AMBER solution is hardware and software configured to support real-time communications with actuators compliant with the Powerlink standard, as well as to interact with sensors compliant with Bluetooth Low Energy. Performance results show the effectiveness of the proposed solution in the selected industrial scenario while promoting a fast and immediate transfer in new embedded products targeted to IIoT applications. © 2017, The Author(s).","Embedded system design; Fast prototyping; IIoT gateway design; Industrial internet of things",,"Petracca, M.; Scuola Superiore Sant’Anna di Pisa, Via Moruzzi 1, Italy; email: matteo.petracca@santannapisa.it",,"Springer International Publishing",16873955,,,,"English","Eurasip J. Embedded Syst.",Article,Scopus,2-s2.0-85029522412
"Habaebi M.H., Chowdhury I.J., Islam M.R., Zainal N.A.B.","Effects of shadowing on LoRa LPWAN radio links",2017,"International Journal of Electrical and Computer Engineering","7","6",,"2970","2976",,,10.11591/ijece.v7i6.pp2970-2976,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032220876&doi=10.11591%2fijece.v7i6.pp2970-2976&partnerID=40&md5=e2eb096270d5ffcb3c0fa9dbc3b7255f","Department of Electrical and Computer Engineering, International Islamic University Malaysia, Jalan Gombak, Kuala Lumpur, Malaysia","Habaebi, M.H., Department of Electrical and Computer Engineering, International Islamic University Malaysia, Jalan Gombak, Kuala Lumpur, Malaysia; Chowdhury, I.J., Department of Electrical and Computer Engineering, International Islamic University Malaysia, Jalan Gombak, Kuala Lumpur, Malaysia; Islam, M.R., Department of Electrical and Computer Engineering, International Islamic University Malaysia, Jalan Gombak, Kuala Lumpur, Malaysia; Zainal, N.A.B., Department of Electrical and Computer Engineering, International Islamic University Malaysia, Jalan Gombak, Kuala Lumpur, Malaysia","LoRaWAN is a long-range, low-power, wireless telecommunications method; expected to play a big role for the Internet of Things. End appliances use LoRaWAN through a single wireless hop to communicate with gateways linked to the Internet that function as transparent bridges relaying messages amongst these end-devices and a central network server. This technology youtes a combination of extended range, low power utilization and protected data communication and is gaining significant traction in IoT networks being deployed by wireless network operators. However, no comprehensive evaluation of the technology exists in the open literature. The main intention of this paper is to investigate the effects of shadowing on LoRaWAN links and analyze the performance in terms of packet loss ratio for different physical layer settings. Results indicate large differences in performance when shadowing is taken into consideration upsetting the expected performance tremendously. Copyright © 2017 Institute of Advanced Engineering and Science. All rights reserved.","Internet of things; Long range; Low power wide area network; Wireless communication",,"Habaebi, M.H.; Department of Electrical and Computer Engineering, International Islamic University Malaysia, Jalan Gombak, Malaysia; email: habaebi@iium.edu.my",,"Institute of Advanced Engineering and Science",20888708,,,,"English","Int. J. Electr. Comput. Eng.",Article,Scopus,2-s2.0-85032220876
"Elmisery A.M., Rho S., Aborizka M.","A new computing environment for collective privacy protection from constrained healthcare devices to IoT cloud services",2017,"Cluster Computing",,,,"1","28",,,10.1007/s10586-017-1298-1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033483262&doi=10.1007%2fs10586-017-1298-1&partnerID=40&md5=03cd629326ae94846f6dd737b2f4f8c8","Department of Electronic Engineering, Universidad Tecnica Federico Santa Maria, Valparaiso, Chile; Department of Media Software, Sungkyul University, Anyang-si, South Korea; College of Computer Science, Arab Academy for Science, Technology, and Maritime Transport, Cairo, Egypt","Elmisery, A.M., Department of Electronic Engineering, Universidad Tecnica Federico Santa Maria, Valparaiso, Chile; Rho, S., Department of Media Software, Sungkyul University, Anyang-si, South Korea; Aborizka, M., College of Computer Science, Arab Academy for Science, Technology, and Maritime Transport, Cairo, Egypt","The Internet of healthcare things is essentially a new model that changes the way of the delivery and management of healthcare services. It utilizes digital sensors and cloud computing to present a quality healthcare service outside of the classical hospital environment. This resulted in the emergence of a new class of online web 4.0 services, which are termed “cloud healthcare services”. Cloud healthcare services offer a straightforward opportunity for patients to communicate with healthcare professionals and utilize their personal IoHT devices to obtain timely and accurate medical guidance and decisions. The personal IoHT devices integrate sensed health data at a central cloud healthcare service to extract useful health insights for wellness and preventive care strategies. However, the present practices for cloud healthcare services rely on a centralized approach, where patients’ health data are collected and stored on servers, located at remote locations, which might be functioning under data privacy laws somewhat different from the ones applied where the service is running. Promoting a privacy respecting cloud services encourages patients to actively participate in these healthcare services and to routinely provide an accurate and precious health data about themselves. With the emergence of fog computing paradigm, privacy protection can now be enforced at the edge of the patient’s network regardless of the location of service providers. In this paper, a framework for cloud healthcare recommender service is presented. We depicted the personal gateways at the patients’ side act as intermediate nodes (called fog nodes) between IoHT devices and cloud healthcare services. A fog-based middleware will be hosted on these fog nodes for an efficient aggregation of patients generated health data while maintaining the privacy and the confidentiality of their health profiles. The proposed middleware executes a two-stage concealment process that utilizes the hierarchical nature of IoHT devices. This will unburden the constrained IoHT devices from performing intensive privacy preserving processes. At that, the patients will be empowered with a tool to control the privacy of their health data by enabling them to release their health data in a concealed form. The further processing at the cloud healthcare service continues over the concealed data by applying the proposed protocols. The proposed solution was integrated into a scenario related to preserving the privacy of the patients’ health data when utilized by a cloud healthcare recommender service to generate health insights. Our approach induces a straightforward solution with accurate results, which are beneficial to both patients and service providers. © 2017 Springer Science+Business Media, LLC","Cloud healthcare services; Internet of healthcare things; Recommender services; Secure multiparty computation","Data privacy; Distributed database systems; Fog; Health; Health care; Internet of things; Internet service providers; Middleware; Centralized approaches; Computing environments; Health care professionals; Healthcare services; Hospital environment; Privacy protection; Recommender services; Secure multi-party computation; Web services","Rho, S.; Department of Media Software, Sungkyul UniversitySouth Korea; email: smrho@sungkyul.ac.kr",,"Springer New York LLC",13867857,,,,"English","Cluster Comput.",Article in Press,Scopus,2-s2.0-85033483262
"Dhillon P.K., Kalra S.","Secure multi-factor remote user authentication scheme for Internet of Things environments",2017,"International Journal of Communication Systems","30","16", e3323,"","",,1,10.1002/dac.3323,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018704464&doi=10.1002%2fdac.3323&partnerID=40&md5=96dbe6476c829af6c068288b8ca4a2a1","Department of Computer Science and Engineering, Guru Nanak Dev University, Regional Campus, Jalandhar, Punjab, India","Dhillon, P.K., Department of Computer Science and Engineering, Guru Nanak Dev University, Regional Campus, Jalandhar, Punjab, India; Kalra, S., Department of Computer Science and Engineering, Guru Nanak Dev University, Regional Campus, Jalandhar, Punjab, India","Because of the exponential growth of Internet of Things (IoT), several services are being developed. These services can be accessed through smart gadgets by the user at any place, every time and anywhere. This makes security and privacy central to IoT environments. In this paper, we propose a lightweight, robust, and multi-factor remote user authentication and key agreement scheme for IoT environments. Using this protocol, any authorized user can access and gather real-time sensor data from the IoT nodes. Before gaining access to any IoT node, the user must first get authenticated by the gateway node as well as the IoT node. The proposed protocol is based on XOR and hash operations, and includes: (i) a 3-factor authentication (ie, password, biometrics, and smart device); (ii) mutual authentication; (iii) shared session key; and (iv) key freshness. It satisfies desirable security attributes and maintains acceptable efficiency in terms of the computational overheads for resource constrained IoT environment. Further, the informal and formal security analysis using AVISPA proves security strength of the protocol and its robustness against all possible security threats. Simulation results also prove that the scheme is secure against attacks. Copyright © 2017 John Wiley & Sons, Ltd.","biometrics; IoT; key agreement; remote user authentication; security","Authentication; Biometrics; Gateways (computer networks); Network security; Security systems; 3-factor authentications; Computational overheads; Formal security analysis; Internet of Things (IOT); Key agreement; Remote user authentication; Remote user authentication schemes; Security; Internet of things","Dhillon, P.K.; Department of Computer Science and Engineering, Guru Nanak Dev University, Regional Campus, India; email: parwindhillon@gmail.com",,"John Wiley and Sons Ltd",10745351,,IJCYE,,"English","Int J Commun Syst",Article,Scopus,2-s2.0-85018704464
"Amah T.E., Kamat M., Bakar K.A., Abd Rahman S.O., Mohammed M.H., Abali A.M., Moreira W., Oliveira A., Jr.","The impact of message replication on the performance of opportunistic networks for sensed data collection",2017,"Information (Switzerland)","8","4", 143,"","",,,10.3390/info8040143,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033690489&doi=10.3390%2finfo8040143&partnerID=40&md5=6f4b4e7b3c6c5ad75ed4b895cd2a5f4e","Department of Computer Science, Faculty of Computing, Universiti Teknologi Malaysia, Skudai, Johor, Malaysia; Fraunhofer-AICOS, Porto, Portugal; Institute of Informatics, Federal University of Goiás, Goiânia, GO, Brazil","Amah, T.E., Department of Computer Science, Faculty of Computing, Universiti Teknologi Malaysia, Skudai, Johor, Malaysia; Kamat, M., Department of Computer Science, Faculty of Computing, Universiti Teknologi Malaysia, Skudai, Johor, Malaysia; Bakar, K.A., Department of Computer Science, Faculty of Computing, Universiti Teknologi Malaysia, Skudai, Johor, Malaysia; Abd Rahman, S.O., Department of Computer Science, Faculty of Computing, Universiti Teknologi Malaysia, Skudai, Johor, Malaysia; Mohammed, M.H., Department of Computer Science, Faculty of Computing, Universiti Teknologi Malaysia, Skudai, Johor, Malaysia; Abali, A.M., Department of Computer Science, Faculty of Computing, Universiti Teknologi Malaysia, Skudai, Johor, Malaysia; Moreira, W., Fraunhofer-AICOS, Porto, Portugal; Oliveira, A., Jr., Institute of Informatics, Federal University of Goiás, Goiânia, GO, Brazil","Opportunistic networks (OppNets) provide a scalable solution for collecting delay-tolerant data from sensors to their respective gateways. Portable handheld user devices contribute significantly to the scalability of OppNets since their number increases according to user population and they closely follow human movement patterns. Hence, OppNets for sensed data collection are characterised by high node population and degrees of spatial locality inherent to user movement. We study the impact of these characteristics on the performance of existing OppNet message replication techniques. Our findings reveal that the existing replication techniques are not specifically designed to cope with these characteristics. This raises concerns regarding excessive message transmission overhead and throughput degradations due to resource constraints and technological limitations associated with portable handheld user devices. Based on concepts derived from the study, we suggest design guidelines to augment existing message replication techniques. We also follow our design guidelines to propose a message replication technique, namely Locality Aware Replication (LARep). Simulation results show that LARep achieves better network performance under high node population and degrees of spatial locality as compared with existing techniques. © 2017 by the authors.","Delay tolerant data; Internet of Things; Opportunistic networks; Routing; Sensed data collection; Smart city; Smartphones; Wireless sensors","Data acquisition; Design; Internet of things; Population statistics; Smart city; Smartphones; Wireless ad hoc networks; Data collection; Delay tolerant; Opportunistic networks; Routing; Wireless sensor; Delay tolerant networks","Amah, T.E.; Department of Computer Science, Faculty of Computing, Universiti Teknologi MalaysiaMalaysia; email: teamah2@live.utm.my",,"MDPI AG",20782489,,,,"English","Information",Article,Scopus,2-s2.0-85033690489
